"마트","바코드","상품명","이미지","규격","원가","실판매가","판매시작","판매종료","재고"
럭키마트 검암점,"8809331060187",삼호-명가등심돈까스S(수입),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8809331060187.jpg,"200g*5",9900,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,6
럭키마트 검암점,"8801043014854",농심)신라면선물용,http://gs1.koreannet.or.kr/pr/photoView.do?fileNm=8801043000017_8801043014854_1.jpg&filePath=8801043000017/8801043014854,"120g*20",18900,4900,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,0
럭키마트 검암점,"2010420085004",깐마늘,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8802354230131.jpg,"1kg봉지",9900,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,0
"큐마켓 (테스트용, 주문 불가)","4712277822723",품절테스트,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/4712277822723,"120g",15000,3000,2025-01-01 00:00:00.000,2025-12-31 23:59:59.000,-1
"큐마켓 (테스트용, 주문 불가)","5666334",감자감자감자,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%ED%95%9C%EB%A7%88%EC%9D%8C%EB%A7%88%ED%8A%B8%20%EC%B2%9C%EC%95%88%EC%A0%90/8801043036160.jpg,"",1000,100,2025-01-01 00:00:00.000,2025-12-31 23:59:59.000,10
비엘식자재마트 간석점,"8809948133991",진미채(수입),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%B9%84%EC%97%98%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8%20%EA%B0%84%EC%84%9D%EC%A0%90/8809792626113.jpg,"150g",10300,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,7
비엘식자재마트 간석점,"8801037022322",[맥심] 모카커피믹스,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801037022322,"600g",12000,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,0
비엘식자재마트 간석점,"4987176125293",PG)다우니엑스퍼트실내건조(핑크),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%B9%84%EC%97%98%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8%20%EA%B0%84%EC%84%9D%EC%A0%90/4987176125293.jpg,"1.35L",11800,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,3
비엘식자재마트 간석점,"8809172324264",여주)혼합곡15곡,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%B9%84%EC%97%98%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8%20%EA%B0%84%EC%84%9D%EC%A0%90/8809172324264.jpg,"800g+800g",11900,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,5
비엘식자재마트 간석점,"8801047228929",동원들기름김선물세트,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801047224303,"24P",17900,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,8
비엘식자재마트 간석점,"8809627595997",(식자재왕)핫도그크리스피치즈,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EC%95%A0%ED%94%8C%EB%A7%88%ED%8A%B8%20%ED%99%94%EC%96%91%EC%A0%90/%EC%8B%9D%EC%9E%90%EC%9E%AC%EC%99%95%ED%81%AC%EB%A6%AC%EC%8A%A4%ED%94%BC%EC%B9%98%EC%A6%88%ED%95%AB%EB%8F%84%EA%B7%B8.jpg,"800g",11400,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,4
비엘식자재마트 간석점,"8801007325248",CJ)비비고왕만두기획,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%B9%84%EC%97%98%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8%20%EA%B0%84%EC%84%9D%EC%A0%90/8801007325248.jpeg,"420g*2",11200,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,0
비엘식자재마트 간석점,"8801114156858",풀무원)지구식단케이준치킨텐더,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801114156858,"450g",11500,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,0
비엘식자재마트 간석점,"8809226828793",식자재왕/미니참진떡갈비_40g*25,https://d2rrvvl2hhzoww.cloudfront.net/upload/51/0e15afe4-986f-4c8b-bad9-f010d8187306_8809226828793.png,"1Kg",16500,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,6
비엘식자재마트 간석점,"8801114132333",풀무원)무항생제통통신선란,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%B9%84%EC%97%98%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8%20%EA%B0%84%EC%84%9D%EC%A0%90/8801114132333.jpg,"25구",12000,100,2025-03-01 00:00:00.000,2026-01-31 23:59:59.000,0
금메달 식자재마트,"8803649234575",왕란,https://s3.ap-northeast-2.amazonaws.com/stage.aswemake.qmarket.com/upload/IMG_0619.jpeg,"30구",9900,100,2025-03-01 00:00:00.000,2025-03-31 00:00:00.000,0
금메달 식자재마트,"8809102323008",아름담은자몽차,https://s3.ap-northeast-2.amazonaws.com/stage.aswemake.qmarket.com/upload/8809102323008.png,"2kg",8900,100,2025-03-01 00:00:00.000,2025-03-31 00:00:00.000,0
금메달 식자재마트,"8809875070413",우리곡물크리스피롤23곡(인절미),https://d2rrvvl2hhzoww.cloudfront.net/upload/1/17175f78-7092-4755-9264-7207c8efdf1a_%EC%9D%B8%EC%A0%88%EB%AF%B8.png,"500g",8500,100,2025-03-01 00:00:00.000,2025-03-31 00:00:00.000,2
금메달 식자재마트,"8809381792588",나무와약속3겹,https://s3.ap-northeast-2.amazonaws.com/stage.aswemake.qmarket.com/upload/20230822_163439.jpg,"30롤",10600,100,2025-03-01 00:00:00.000,2025-03-31 00:00:00.000,0
금메달 식자재마트,"8801392065224",[CJ] 해찬들 원조 쌀태양초고추장,https://s3.ap-northeast-2.amazonaws.com/stage.aswemake.qmarket.com/upload/8801392065224.png,"1.5kg+400g",13750,100,2025-03-01 00:00:00.000,2025-03-31 00:00:00.000,0
금메달 식자재마트,"21305464655",한돈 생삼겹살(100원딜 전용),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/2033030021507.jfif,약500g,11500,100,2025-03-01 00:00:00.000,2025-03-31 00:00:00.000,0
킹마트 효성점,"8801052951720",청정원)포도씨유,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801052951713,"900ml",7980,100,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,10
킹마트 효성점,"8800710100036",한톨미(24년햅쌀),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%93%9C%EB%A6%BC%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8%20%EC%8B%AC%EA%B3%A1%EC%A0%90/8800710100036.jpg,"4kg",24500,5500,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,10
킹마트 효성점,"22002846",한우양지국거리(썰린거),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EA%B8%88%EB%A9%94%EB%8B%AC%20%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8/%ED%95%9C%EC%9A%B0%EC%96%91%EC%A7%80001.JPG,"2팩",20000,8000,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,9
킹마트 효성점,"22002822",수입생삼겹살,https://s3.ap-northeast-2.amazonaws.com/stage.aswemake.qmarket.com/upload/%EB%AC%B4%EB%BC%88%EC%82%BC%EA%B2%B9%EC%82%B4.jfif,"600g(1근)",9900,100,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,9
킹마트 효성점,"8801007806440",스팸클래식기획,https://d2rrvvl2hhzoww.cloudfront.net/upload/126/0f95ab3b-4f08-4bbd-879b-ab73ee9f1838_1.jpeg,"300g*3입",14800,100,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,10
킹마트 효성점,"8801037054637",맥심모카골드믹스150T+20T,https://d2rrvvl2hhzoww.cloudfront.net/upload/173/dd6870b4-9139-419b-8836-83e836a6b278_%EB%A7%A5%EC%8B%AC%EB%AA%A8%EC%B9%B4.jpg,"2.0kg*6",26800,14800,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,9
킹마트 효성점,"8809687660031",햇달걀특란,https://d2rrvvl2hhzoww.cloudfront.net/upload/image/79/5ff89529-8076-4269-a9c3-f390ac6e8b21_다운로드 (5).jpeg,"30구",7550,100,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,9
킹마트 효성점,"8809425031024",국내산)찹쌀,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%93%9C%EB%A6%BC%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8%20%EC%8B%AC%EA%B3%A1%EC%A0%90/8809425031024.jpg,"3kg",18500,3900,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,10
킹마트 효성점,"8801052026992",청정원재래식생된장,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801052026992,"2kg+300g",12000,100,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,10
킹마트 효성점,"8801005112024",샘표양조간장 501,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801005112024,"1.7L",13000,1000,2025-03-17 00:00:00.000,2025-06-01 23:59:59.000,10
한마음마트 천안점,"8801252230106",종이컵1박스,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%ED%95%A0%EC%9D%B8%EB%A7%88%ED%8A%B8%20%EA%B0%95%EB%82%A8%EC%A0%90/8809195399928.jpg,"",10900,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,8
한마음마트 천안점,"8801448282179",농협국산100%검은콩두유,https://d2rrvvl2hhzoww.cloudfront.net/upload/82/44e09e8c-8ce3-4cc7-94a9-c2530c937ba5_%E1%84%83%E1%85%A1%E1%84%8B%E1%85%AE%E1%86%AB%E1%84%85%E1%85%A9%E1%84%83%E1%85%B3%20%2822%29.jpeg,"190ml*24",14800,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,0
한마음마트 천안점,"8801005133029",[샘표] 진간장 금F3,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801005133029,"1.7L",11000,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,0
한마음마트 천안점,"2500000098123",세척당근,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EC%95%A0%ED%94%8C%EB%A7%88%ED%8A%B8%20%ED%99%94%EC%96%91%EC%A0%90/%EC%84%B8%EC%B2%99%EB%8B%B9%EA%B7%BC.jpg,"1박스",7980,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,9
한마음마트 천안점,"2032030023009",벡원딜_한돈생삼겹살,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/2033030021507.jfif,"600g",20100,8100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,4
한마음마트 천안점,"8808244208044",제주삼다수,https://s3.ap-northeast-2.amazonaws.com/sopt.seongjin.com/%EC%82%BC%EB%8B%A4%EC%88%98+2L+6%EA%B0%9C.jpg,"2L*6",6980,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,4
한마음마트 천안점,"8801007803180",[햇반] 백미밥,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8801007803180.jpg,"200g*12",14800,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,0
한마음마트 천안점,"8809866270013",토속왕란,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/22008664.jpg,"30구",8500,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,0
한마음마트 천안점,"8801043014830",[농심] 신라면,https://d2rrvvl2hhzoww.cloudfront.net/upload/image/111/240a57da-b6d5-4f97-806e-4e7bd56454fb_신.JPG,"120g*5",4580,100,2025-02-01 00:00:00.000,2026-01-31 23:59:59.000,5
럭키할인마트 강남점,"8801007093437",백설)압착올리브유,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801007093437,"500ml",15000,900,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,8
럭키할인마트 강남점,"8801045010526",[오뚜기] 오뚜기카레 약간매운맛,https://firebasestorage.googleapis.com/v0/b/steady-copilot-206205.appspot.com/o/goods%2F0a88fe24-3cdb-46de-8484-329f914365b6%2F0a88fe24-3cdb-46de-8484-329f914365b6_front_angle_1000.jpg?alt=media&token=955820f6-6086-4c2b-9124-cf52effad118,"1kg",9900,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801037053418",카누다크미니,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801037053418,"27g(30T)",9500,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801069221397",[남양] 맛있는우유GT,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801069221397,"900ml*2입",6100,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801114132333",풀무원)통통신선란,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8801114132333.jpg,"25구",17000,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,8
럭키할인마트 강남점,"8801052026992",[청정원] 재래식생된장,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801052026992,"2kg+300g",13000,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"4987176099501",P&G)다우니생화향기프리지아앤페어,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%8C%80%EB%B3%B4%ED%95%A0%EC%9D%B8%EB%A7%88%ED%8A%B8%20%ED%8F%89%ED%83%9D%EC%A0%90/4987176099501.jpg,"1L",10500,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801051230420",LG)자연퐁솔잎용기,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801051230420,"980ml",9450,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801008004821",뉴트로지나)인텐스핸드크림,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801008004821,"56g",11000,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801045141527",[오뚜기] 골드마요네즈,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801045141527,"1kg",8950,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801052024707",[청정원] 쉐프의 치킨스톡,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801052024707,"340g",9950,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
럭키할인마트 강남점,"8801051031959",클링스스케일링케어스트롱민트,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801051031959,"100g*3",8950,100,2025-03-10 00:00:00.000,2026-03-31 23:59:59.000,10
대보할인마트 평택점,"8801392011887",백설)비비고왕교자,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801392011887,"315g*2",6980,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,8
대보할인마트 평택점,"8801073140578",[삼양] 불닭볶음면,https://sitem.ssgcdn.com/00/79/43/item/1000290437900_i1_750.jpg,"140g*5입",6450,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
대보할인마트 평택점,"8801007806389",[CJ] 스팸클래식,https://j2mart.net/data/item/8801007806389/1.jpg,"300g",5200,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,8
대보할인마트 평택점,"8801043015264",[농심] 올리브 짜파게티,https://d2rrvvl2hhzoww.cloudfront.net/upload/image/111/12607107-6eba-4b16-a6a1-2226f2b10dc0_짜파게티멀티.jpg,"140g*5입",6300,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
대보할인마트 평택점,"8801043014830",[농심] 신라면,https://d2rrvvl2hhzoww.cloudfront.net/upload/image/111/240a57da-b6d5-4f97-806e-4e7bd56454fb_신.JPG,"120g*5입",4800,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,6
대보할인마트 평택점,"8809296885221",[팔도] 왕뚜껑,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8809296885221,"110g*6입",6980,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,10
대보할인마트 평택점,"8806002001869",광동)비타500/1박스(20입),https://d2rrvvl2hhzoww.cloudfront.net/upload/85/f7e4b003-3e4f-49ce-b4a2-73d5be530b60_zz.jfif,"100ml*20",16000,1800,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
대보할인마트 평택점,"8809110110119",안성마춤왕란,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%8C%80%EB%B3%B4%ED%95%A0%EC%9D%B8%EB%A7%88%ED%8A%B8%20%ED%8F%89%ED%83%9D%EC%A0%90/8809110110119.jpg,"30구",8980,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,0
대보할인마트 평택점,"8803628119251",리빙더순수무형광3겹테코,https://d2rrvvl2hhzoww.cloudfront.net/upload/85/d9b393f5-cc13-4c40-9a07-28ec4da59c02_z.jfif,"25m*30롤/3",14900,100,2025-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
슈퍼킹마트 주안점,"8809615950012",삶아서깐메추리알,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8809262130027.jfif,"1kg",9300,100,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
슈퍼킹마트 주안점,"8809517212010",한결왕란,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EC%8A%88%ED%8D%BC%ED%82%B9%EB%A7%88%ED%8A%B8%20%EC%A3%BC%EC%95%88%EC%A0%90/8809517212010.jpg,"30구",9750,100,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,7
슈퍼킹마트 주안점,"8801045894119",[오뚜기] 오뚜기밥 흰밥,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8801045894119.jpg,"200g*10입",12800,100,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,8
슈퍼킹마트 주안점,"2000001",한돈 생삼겹살(앱),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/2033030021507.jfif,"600g",16200,4200,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,5
슈퍼킹마트 주안점,"22002426",고당도블랙오렌지(앱),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8809020049523.jfif,"10개",9800,100,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,6
슈퍼킹마트 주안점,"8809683470108",까만콩양념왕구이,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EC%8A%88%ED%8D%BC%ED%82%B9%EB%A7%88%ED%8A%B8%20%EC%A3%BC%EC%95%88%EC%A0%90/8809683470108.jpg,"4대/1팩",15500,3500,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,5
슈퍼킹마트 주안점,"8809123250017",베스트코왕만두,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%A0%90/8809123250017.jpg,"1.4kg",12500,500,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
슈퍼킹마트 주안점,"8809627594754",식자재왕)통살새우까스,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EA%B8%88%EB%A9%94%EB%8B%AC%20%EC%8B%9D%EC%9E%90%EC%9E%AC%EB%A7%88%ED%8A%B8/%EC%8B%9D%EC%9E%90%EC%9E%AC%EC%99%95%ED%86%B5%EC%82%B4%EC%83%88%EC%9A%B0%EA%B9%8C%EC%8A%A41000.jpg,"1kg",15600,3600,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,9
슈퍼킹마트 주안점,"8809123250031",베스트코)김치왕만두,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EC%9D%98%EC%A0%95%EB%B6%80%EC%A0%90/8809123250031.jpg,"1.4kg",11000,100,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,8
슈퍼킹마트 주안점,"8801062861828",롯데)몽쉘크림실속카카오,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801062861828,"816g",10800,100,2022-03-01 00:00:00.000,2025-03-31 23:59:59.000,6
우리할인마트 문학점,"8801007037783",[햇반] 백미밥,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801007037783,"210g*6",10800,100,2025-01-01 00:00:00.000,2025-03-31 23:59:59.000,7
우리할인마트 문학점,"8801005133029",[샘표] 진간장 금F3,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801005133029,"1.8L",13000,100,2025-01-01 00:00:00.000,2025-03-31 23:59:59.000,8
우리할인마트 문학점,"8801051295788",엘지수퍼타이(R/7.2kg),https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/barcode/8801051203783,"7.2kg",16800,100,2025-01-01 00:00:00.000,2025-03-31 23:59:59.000,7
우리할인마트 문학점,"8801492362855",하림 생닭 12호,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EC%9A%B0%EB%A6%AC%ED%95%A0%EC%9D%B8%EB%A7%88%ED%8A%B8%20%EB%AC%B8%ED%95%99%EC%A0%90/8801492362855.jpg,"1130g",7900,100,2025-01-01 00:00:00.000,2025-03-31 23:59:59.000,9
우리할인마트 문학점,"8801037022322",[맥심] 모카커피믹스,https://s3.ap-northeast-2.amazonaws.com/aswemake.qmarket.com/products/%EB%9F%AD%ED%82%A4%EB%A7%88%ED%8A%B8%20%EA%B2%80%EC%95%94%EC%A0%90/8801037022322.jpg,"600g",13000,100,2025-01-01 00:00:00.000,2025-03-31 23:59:59.000,5
